1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
1 11/02/2014,00:00:00  3.42544448559331E-0001
1 12/02/2014,00:00:00  3.57678157892827E-0001
1 13/02/2014,00:00:00  3.71571953478768E-0001
1 14/02/2014,00:00:00  3.85355480845774E-0001
1 15/02/2014,00:00:00  3.99249276431715E-0001
1 16/02/2014,00:00:00  4.13363608455529E-0001
1 17/02/2014,00:00:00  4.24004491582857E-0001
1 18/02/2014,00:00:00  4.24004491582857E-0001
1 19/02/2014,00:00:00  4.24004491582857E-0001
1 20/02/2014,00:00:00  4.13285468033240E-0001
1 21/02/2014,00:00:00  3.39857184905826E-0001
1 22/02/2014,00:00:00  2.91758429218485E-0001
1 23/02/2014,00:00:00  2.47031260414822E-0001
1 24/02/2014,00:00:00  2.33304093752805E-0001
1 25/02/2014,00:00:00  2.20087741625480E-0001
1 26/02/2014,00:00:00  1.87369993835267E-0001
1 27/02/2014,00:00:00  1.73616487152123E-0001
1 28/02/2014,00:00:00  1.71140773460053E-0001
1 01/03/2014,00:00:00  1.76664722351543E-0001
1 02/03/2014,00:00:00  1.83698201317933E-0001
1 03/03/2014,00:00:00  2.41082859376937E-0001
1 04/03/2014,00:00:00  3.76509365695762E-0001
1 05/03/2014,00:00:00  4.24004491582857E-0001
1 06/03/2014,00:00:00  4.24004491582857E-0001
1 07/03/2014,00:00:00  4.24004491582857E-0001
1 08/03/2014,00:00:00  4.24004491582857E-0001
1 09/03/2014,00:00:00  4.24004491582857E-0001
1 10/03/2014,00:00:00  4.24004491582857E-0001
1 11/03/2014,00:00:00  4.24004491582857E-0001
1 12/03/2014,00:00:00  4.24004491582857E-0001
1 13/03/2014,00:00:00  4.24004491582857E-0001
1 14/03/2014,00:00:00  4.24004491582857E-0001
1 15/03/2014,00:00:00  4.24004491582857E-0001
1 16/03/2014,00:00:00  4.24004491582857E-0001
1 17/03/2014,00:00:00  4.24004491582857E-0001
1 18/03/2014,00:00:00  4.24004491582857E-0001
1 19/03/2014,00:00:00  4.24004491582857E-0001
1 20/03/2014,00:00:00  4.24004491582857E-0001
1 21/03/2014,00:00:00  4.24004491582857E-0001
1 22/03/2014,00:00:00  4.24004491582857E-0001
1 23/03/2014,00:00:00  4.24004491582857E-0001
1 24/03/2014,00:00:00  4.24004491582857E-0001
