1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
1 13/02/2014,00:00:00  1.19831561537665E+0001
1 14/02/2014,00:00:00  1.26049941265913E+0001
1 15/02/2014,00:00:00  1.32318068031986E+0001
1 16/02/2014,00:00:00  1.38685688873712E+0001
1 17/02/2014,00:00:00  1.43486278023919E+0001
1 18/02/2014,00:00:00  1.43486278023919E+0001
1 19/02/2014,00:00:00  1.43486278023919E+0001
1 20/02/2014,00:00:00  1.43379087788423E+0001
1 21/02/2014,00:00:00  1.42644804957149E+0001
1 22/02/2014,00:00:00  1.41395936941373E+0001
1 23/02/2014,00:00:00  1.33208477553069E+0001
1 24/02/2014,00:00:00  1.32542367254802E+0001
1 25/02/2014,00:00:00  1.31838851509831E+0001
1 26/02/2014,00:00:00  1.24059216607853E+0001
1 27/02/2014,00:00:00  1.25225516104959E+0001
1 28/02/2014,00:00:00  1.26120744500335E+0001
1 01/03/2014,00:00:00  1.29013549814177E+0001
1 02/03/2014,00:00:00  1.39796820591188E+0001
1 03/03/2014,00:00:00  1.41657061701860E+0001
1 04/03/2014,00:00:00  1.43011326765048E+0001
1 05/03/2014,00:00:00  1.43486278023919E+0001
1 06/03/2014,00:00:00  1.43486278023919E+0001
1 07/03/2014,00:00:00  1.43486278023919E+0001
1 08/03/2014,00:00:00  1.43486278023919E+0001
1 09/03/2014,00:00:00  1.43486278023919E+0001
1 10/03/2014,00:00:00  1.43486278023919E+0001
1 11/03/2014,00:00:00  1.43486278023919E+0001
1 12/03/2014,00:00:00  1.43486278023919E+0001
1 13/03/2014,00:00:00  1.43486278023919E+0001
1 14/03/2014,00:00:00  1.43486278023919E+0001
1 15/03/2014,00:00:00  1.43486278023919E+0001
1 16/03/2014,00:00:00  1.43486278023919E+0001
1 17/03/2014,00:00:00  1.43486278023919E+0001
1 18/03/2014,00:00:00  1.43486278023919E+0001
1 19/03/2014,00:00:00  1.43486278023919E+0001
1 20/03/2014,00:00:00  1.43486278023919E+0001
1 21/03/2014,00:00:00  1.43486278023919E+0001
1 22/03/2014,00:00:00  1.43486278023919E+0001
1 23/03/2014,00:00:00  1.43486278023919E+0001
1 24/03/2014,00:00:00  1.43486278023919E+0001
