1 --> s0WSd25400
Date of simulation:  05/05/2017,10:30:44
1 13/02/2014,00:00:00  5.13563835161424E+0000
1 14/02/2014,00:00:00  5.40214033996770E+0000
1 15/02/2014,00:00:00  5.67077434422800E+0000
1 16/02/2014,00:00:00  5.94367238030196E+0000
1 17/02/2014,00:00:00  6.14941191531084E+0000
1 18/02/2014,00:00:00  6.14941191531084E+0000
1 19/02/2014,00:00:00  6.14941191531084E+0000
1 20/02/2014,00:00:00  6.13869289176122E+0000
1 21/02/2014,00:00:00  6.06526460863381E+0000
1 22/02/2014,00:00:00  5.94037780705622E+0000
1 23/02/2014,00:00:00  5.12163186822584E+0000
1 24/02/2014,00:00:00  5.05502083839913E+0000
1 25/02/2014,00:00:00  4.98466926390204E+0000
1 26/02/2014,00:00:00  4.20670577370425E+0000
1 27/02/2014,00:00:00  4.32333572341482E+0000
1 28/02/2014,00:00:00  4.41285856295237E+0000
1 01/03/2014,00:00:00  4.70213909433661E+0000
1 02/03/2014,00:00:00  5.78046617203773E+0000
1 03/03/2014,00:00:00  5.96649028310492E+0000
1 04/03/2014,00:00:00  6.10191678942374E+0000
1 05/03/2014,00:00:00  6.14941191531084E+0000
1 06/03/2014,00:00:00  6.14941191531084E+0000
1 07/03/2014,00:00:00  6.14941191531084E+0000
1 08/03/2014,00:00:00  6.14941191531084E+0000
1 09/03/2014,00:00:00  6.14941191531084E+0000
1 10/03/2014,00:00:00  6.14941191531084E+0000
1 11/03/2014,00:00:00  6.14941191531084E+0000
1 12/03/2014,00:00:00  6.14941191531084E+0000
1 13/03/2014,00:00:00  6.14941191531084E+0000
1 14/03/2014,00:00:00  6.14941191531084E+0000
1 15/03/2014,00:00:00  6.14941191531084E+0000
1 16/03/2014,00:00:00  6.14941191531084E+0000
1 17/03/2014,00:00:00  6.14941191531084E+0000
1 18/03/2014,00:00:00  6.14941191531084E+0000
1 19/03/2014,00:00:00  6.14941191531084E+0000
1 20/03/2014,00:00:00  6.14941191531084E+0000
1 21/03/2014,00:00:00  6.14941191531084E+0000
1 22/03/2014,00:00:00  6.14941191531084E+0000
1 23/03/2014,00:00:00  6.14941191531084E+0000
1 24/03/2014,00:00:00  6.14941191531084E+0000
